model,best_params,cv_score,test_acc,test_bal_acc,test_f1_macro,acc_ci_low,acc_ci_high,bal_acc_ci_low,bal_acc_ci_high,f1_ci_low,f1_ci_high
SVM,"{""clf__C"": 100, ""clf__gamma"": 0.0001, ""clf__kernel"": ""rbf""}",0.6723809523809524,0.6944444444444444,0.6944444444444444,0.6923076923076923,0.5277777777777778,0.8333333333333334,0.54375,0.8375040584415584,0.5273396873396873,0.8328173374613003
XGBoost,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.2, ""clf__max_depth"": 2, ""clf__n_estimators"": 300, ""clf__subsample"": 0.7}",0.6661904761904762,0.6111111111111112,0.6111111111111112,0.6,0.4444444444444444,0.7777777777777778,0.45510835913312697,0.760061919504644,0.4178723404255319,0.7498069498069498
LogisticRegression,"{""clf__C"": 0.5, ""clf__penalty"": ""l2"", ""clf__solver"": ""liblinear""}",0.6652380952380952,0.5833333333333334,0.5833333333333334,0.5669607056936649,0.4166666666666667,0.75,0.42879256965944273,0.73125,0.39297421867297644,0.7242553191489361
GaussianNB,"{""clf__var_smoothing"": 1e-09}",0.6652380952380952,0.7777777777777778,0.7777777777777778,0.7714285714285714,0.6388888888888888,0.9166666666666666,0.6436679556856187,0.9,0.6072727272727273,0.9080851063829787
KNN,"{""clf__metric"": ""euclidean"", ""clf__n_neighbors"": 14}",0.6528571428571429,0.6944444444444444,0.6944444444444444,0.674074074074074,0.5555555555555556,0.8333333333333334,0.5727341913706161,0.825,0.5,0.8285714285714285
